title,release_year,language,overview,vote_average,vote_count,popularity
Beauty and the Billionaire,2022.0,Amerikanisch,Addison travels with a picky billionaire as an assistant in her brother's place so he doesn't lose his job. She clashes with the billionaire until both start to see more in each other than they thought.,6.75,20.0,17.116
Cinderella,2015.0,Amerikanisch,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",6.817,7015.0,78.445
Interceptor,2022.0,Amerikanisch,A U.S. Army Captain uses her years of tactical training to save humanity from sixteen nuclear missiles launched at the U.S. as a violent attack threatens her remote missile interceptor station.,6.048,718.0,12.362
Monster,2021.0,Amerikanisch,"The story of Steve Harmon, a 17-year-old honor student whose world comes crashing down around him when he is charged with felony murder.",6.364,92.0,30.366
97 Minutes,2023.0,Amerikanisch,"A hijacked 767 will crash in just 97 minutes when its fuel runs out. Against the strong will of NSA Deputy Toyin, NSA Director Hawkins prepares to have the plane shot down before it does any catastrophic damage on the ground, leaving the fate of the innocent passengers in the hands of Tyler, one of the alleged hijackers on board who is an undercover Interpol agent - or is he?",4.728,79.0,13.577
Spectre,2015.0,Amerikanisch,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",6.549,10402.0,73.171
The Serpent,2021.0,Amerikanisch,Top special agent Lucinda Kavsky works for a secret part of the CIA. She's given a special assignment but then set up by her own agency.,6.159,41.0,28.359
Jarhead: Law of Return,2019.0,Amerikanisch,"Major Ronan Jackson, an accomplished fighter pilot for the Israel Defense Forces and son of a U.S. Senator, is shot down while flying through Syrian airspace. After miraculously surviving the crash, Jackson is taken captive by a group of Hezbollah militiamen. A squad of elite soldiers, led by Gunnery Sergeant Dave Torres, risk their own lives in the hopes of saving an ally they've never met.",6.534,3338.0,16.82
Toy Story 4,2019.0,Amerikanisch,"Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",7.493,9674.0,55.94
Encanto at the Hollywood Bowl,2022.0,Amerikanisch,"A taped performance of the Encanto Live-to-Film Concert Experience at the Hollywood Bowl. The original cast puts on a miracle of a concert as they sing the favorite songs, accompanied by a full orchestra and 50 person ensemble, and the Hollywood Bowl transforms into Casita!",7.1,156.0,37.953
Winnie the Pooh: Blood and Honey,2023.0,Amerikanisch,"Christopher Robin is headed off to college and he has abandoned his old friends, Pooh and Piglet, which then leads to the duo embracing their inner monsters.",5.067,1319.0,34.326
Underworld: Blood Wars,2016.0,Amerikanisch,"Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.",5.9,3614.0,31.682
King of Killers,2023.0,Amerikanisch,"Garan is a part of a group of international hitmen who are contracted to take out the most dangerous killer in the world, only to find out that they're the ones being hunted.",6.533,120.0,243.166
Poison,2023.0,Amerikanisch,"When a poisonous snake slithers onto an Englishman's stomach in India, his associate and a doctor race to save him.",6.868,391.0,16.295
Warhorse One,2023.0,Amerikanisch,A gunned down Navy SEAL Master Chief must guide a child to safety through a gauntlet of hostile Taliban insurgents and survive the brutal Afghanistan wilderness.,7.2,255.0,43.938
Daddy's Home,2015.0,Amerikanisch,"The story of a mild-mannered radio executive who strives to become the best stepdad ever to his wife's two children, but complications ensue when their freewheeling, freeloading real father arrives, forcing stepdad to compete for the affection of the kids.",6.275,3138.0,24.594
Fast X,2023.0,Amerikanisch,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",7.09,5468.0,212.926
Amityville Uprising,2022.0,Amerikanisch,"A chemical blast at a military base sets off a supernatural disaster. As Sgt. Dash tries to keep the peace at the local police station, the explosion unleashes a toxic acid rain that dissolves the flesh of anyone trapped in it. Even worse, it causes the dead to rise again and attack the living. Can Dash and fellow officer Nina Rossi figure out who is friend and foe, fend off the attacks, and defend their colleagues until the savage cataclysm subsides?",3.714,7.0,13.743
Annabelle Comes Home,2019.0,Amerikanisch,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her “safely” behind sacred glass and enlisting a priest’s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target—the Warrens' ten-year-old daughter, Judy, and her friends.",6.412,3446.0,67.826
Superfast!,2015.0,Amerikanisch,"Undercover cop Lucas White joins Vin Serento's gang of illegal street racers. They are fast and they are furious and they plan to double cross Los Angeles kingpin Juan Carlos de la Sol, who hides his cash in a downtown Taco Bell.",5.039,437.0,58.675
