title,release_year,language,overview,vote_average,vote_count,popularity
Uri: The Surgical Strike,2019.0,Indisch,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",7.067,420.0,49.212
Attack,2022.0,Indisch,"With the Parliament under siege, India’s first super soldier Arjun Shergill is tasked to get hold of the terrorists in time, save the Prime Minister from their clutches and stop a dirty bomb from exploding and destroying Delhi.",6.735,204.0,58.312
Jawan,2023.0,Indisch,"An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past,  and that leads him to an unexpected reunion.",7.2,241.0,61.035
Tumbbad,2018.0,Indisch,"India, 1918. On the outskirts of Tumbbad, a cursed village where it always rains, Vinayak, along with his mother and his brother, care of a mysterious old woman who keeps the secret of an ancestral treasure that Vinayak gets obsessed with.",7.492,241.0,74.908
Animal,2023.0,Indisch,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,6.466,104.0,57.331
Adipurush,2023.0,Indisch,"7000 years ago, Ayodhya's Prince Raghava and Prince Sesh along with the Mighty Vanar Warriors travels to the island of Lanka with an aim to rescue Raghava's wife Janaki, who has been abducted by Lankesh, the king of Lanka.",5.108,83.0,32.225
12th Fail,2023.0,Indisch,"Based on the true story of IPS officer Manoj Kumar Sharma, 12th Fail sheds limelight on fearlessly embracing the idea of restarting the academic journey despite the setbacks and challenges and reclaiming one's destiny at a place where millions of students attempt the world's toughest competitive exam: UPSC.",8.105,124.0,28.072
Stree,2018.0,Indisch,"Set in the town of Chanderi, Stree is based on the urban legend of Nale Ba that went viral in Karnataka in the 1990s, and features Shraddha Kapoor and Rajkummar Rao in pivotal roles.",6.901,146.0,41.177
State of Siege: Temple Attack,2021.0,Indisch,"Based on the true incident of the 2002 terrorist attack in Gujarat's Akshardham temple, the story revolves around the bravery of NSG commandos, who stood up for their country and their people in the worst of times.",6.194,31.0,28.497
Bhaiaji Superhitt,2018.0,Indisch,"A kind-hearted goon decides to get his wife back by making a film on their love story, while his arch nemesis tries to thwart his plans.",4.0,4.0,34.504
