title,release_year,language,genre,overview,vote_average,vote_count,popularity,cleaned_overview
Ava,2020,Amerikanisch,Action,black ops assassin forced fight survival job go dangerously wrong,5.832,2543.0,27.607,black ops assassin forced fight survival job go dangerously wrong
Infidel,2019,Amerikanisch,Action,american kidnapped attending conference cairo end prison iran spying charge wife go iran determined get,5.5,74.0,7.443,american kidnapped attending conference cairo end prison iran spying charge wife go iran determined get
Quicksand,2023,Amerikanisch,Horror,married couple brink divorce becomes trapped quicksand hiking colombian rainforest struggle survival battle element jungle must work together order escape,6.589,84.0,11.736,married couple brink divorce becomes trapped quicksand hiking colombian rainforest struggle survival battle element jungle must work together order escape
Earthquake Bird,2019,Amerikanisch,Drama,tokyo japan 1989 lucy fly foreigner work translator begin passionate relationship teiji mysterious obsessed photography,5.884,426.0,7.835,tokyo japan lucy fly foreigner work translator begin passionate relationship teiji mysterious obsessed photography
First Love,2022,Amerikanisch,Drama,young man difficult entry adulthood experience high low first love dealing familial fallout spurred financial crisis 2008,5.672,131.0,15.751,young difficult entry adulthood experience high low first love dealing familial fallout spurred financial crisis
Love by Chance,2016,Amerikanisch,Romanze,claire ambitious pastry chef busy running new restaurant meddling mom preoccupied lack love life without knowledge claires mother find perfect claire find wasnt fate brought together could ruin relationship,6.0,77.0,6.343,claire ambitious pastry chef busy running new restaurant meddling mom preoccupied lack love life without knowledge claires mother find perfect claire find wasnt fate brought together could ruin relationship
Hampstead,2017,Amerikanisch,Romanze,emily walter american widow living peaceful uneventful existence idyllic hampstead village london meet local recluse donald horner 17 year donald livedwildly yet peacefullyin ramshackle hut near edge forest emily learns home target developer stop nothing remove saving donald property becomes personal mission despite gruff exterior polite refusal help emily drawn himas herand begin charitable cause evolves relationship grow even bulldozer close,6.011,185.0,7.042,emily walter american widow living peaceful uneventful existence idyllic hampstead village london meet local recluse donald horner year donald livedwildly yet peacefullyin ramshackle hut near edge forest emily learns home target developer stop nothing remove saving donald property becomes personal mission despite gruff exterior polite refusal help emily drawn himas herand begin charitable cause evolves relationship grow even bulldozer close
Wrong Turn,2021,Amerikanisch,Horror,jen group friend set hike appalachian trail despite warning stick trail hiker stray courseand cross land inhabited foundation hidden community mountain dweller use deadly mean protect way life,5.97,1115.0,69.079,jen group friend set hike appalachian trail despite warning stick trail hiker stray courseand cross land inhabited foundation hidden community mountain dweller use deadly mean protect way life
Game of Love,2022,Amerikanisch,Drama,follows vivien roy love story continues lead roys childhood home sicily prepare sale family estate visit mysterious woman arrives befriends vivien much roys displeasure tension build line crossed secret roys past force couple face aspect relationship know existed,6.226,184.0,15.13,follows vivien roy love story continues lead roys childhood home sicily prepare sale family estate visit mysterious woman arrives befriends vivien much roys displeasure tension build line crossed secret roys past force couple face aspect relationship know existed
The King's Man,2021,Amerikanisch,Humor,collection history worst tyrant criminal mastermind gather plot wipe million one must race time stop,6.754,4437.0,56.028,collection history worst tyrant criminal mastermind gather plot wipe million one must race time stop
