title,release_year,language,overview,vote_average,vote_count,popularity
Tumbbad,2018,Indisch,"India, 1918. On the outskirts of Tumbbad, a cursed village where it always rains, Vinayak, along with his mother and his brother, care of a mysterious old woman who keeps the secret of an ancestral treasure that Vinayak gets obsessed with.",7.5,240,83.749
Attack,2022,Indisch,"With the Parliament under siege, India’s first super soldier Arjun Shergill is tasked to get hold of the terrorists in time, save the Prime Minister from their clutches and stop a dirty bomb from exploding and destroying Delhi.",6.739,203,70.088
Uri: The Surgical Strike,2019,Indisch,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",7.069,419,56.646
Jawan,2023,Indisch,"An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past,  and that leads him to an unexpected reunion.",7.2,241,55.272
Animal,2023,Indisch,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,6.54,101,37.689
Adipurush,2023,Indisch,"7000 years ago, Ayodhya's Prince Raghava and Prince Sesh along with the Mighty Vanar Warriors travels to the island of Lanka with an aim to rescue Raghava's wife Janaki, who has been abducted by Lankesh, the king of Lanka.",5.2,82,31.413
Pathaan,2023,Indisch,"A soldier caught by enemies and presumed dead comes back to complete his mission, accompanied by old companions and foes.",6.593,183,26.796
Sooryavanshi,2021,Indisch,"A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.",5.771,155,24.453
12th Fail,2023,Indisch,"Based on the true story of IPS officer Manoj Kumar Sharma, 12th Fail sheds limelight on fearlessly embracing the idea of restarting the academic journey despite the setbacks and challenges and reclaiming one's destiny at a place where millions of students attempt the world's toughest competitive exam: UPSC.",8.09,122,26.701
Agra,2023,Indisch,The story of a family and an exploration of space in an increasingly crowded world. It follows the quest for a sexual odyssey of an individual.,5.0,2,24.831
Tiger 3,2023,Indisch,"Following the events of Tiger Zinda Hai, War, and Pathaan, Avinash Singh Rathore returns as Tiger but this time the battle is within. He has to choose between his country or family as an old enemy is after his life, who claims that his family was killed by Tiger. He holds Tiger captive in Pakistan as the Indian agent's loyalty towards his country faces its biggest test.",5.8,42,19.094
Bharat,2019,Indisch,"At the cusp of India's birth as an Independent nation, a family makes an arduous journey to freedom at a cost. A young boy Bharat, makes a promise to his Father that he will keep his family together no matter what.",6.322,59,24.395
Hichki,2018,Indisch,Hichki presents a positive and inspiring story about a woman who turns her biggest weakness into her biggest strength.,7.567,127,13.867
Jersey,2022,Indisch,"An ex-cricketer struggling to make ends meet, wants to fulfill his child's wish of getting an Indian jersey but in the process comes face to face with his heroic past and is forced to decide if he will rise to the occasion and become a symbol of hope or continue to live a life as a loser?",7.0,39,16.778
Stree,2018,Indisch,"Set in the town of Chanderi, Stree is based on the urban legend of Nale Ba that went viral in Karnataka in the 1990s, and features Shraddha Kapoor and Rajkummar Rao in pivotal roles.",6.907,145,20.838
State of Siege: Temple Attack,2021,Indisch,"Based on the true incident of the 2002 terrorist attack in Gujarat's Akshardham temple, the story revolves around the bravery of NSG commandos, who stood up for their country and their people in the worst of times.",6.194,31,21.943
Kesari,2019,Indisch,"In 1897, an army of 21 Sikhs battles 10,000 Afghans to prevent the Saragarhi Fort from being taken down.",7.0,98,19.189
Lust Stories 2,2023,Indisch,"Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated 'Lust Stories'.",5.5,36,16.521
Pihu,2018,Indisch,"The social thriller starring a two year-old baby girl. She is living in a home where the adults are going through a complicated phase. Being a toddler, she is occasionally trapped in the accidental situations.",7.5,82,20.844
Sultan,2016,Indisch,"The ageing wrestler Sultan Ali Khan decides to try his luck on the mat again; to do this, he wants to represent his country at the Olympic Games, but first has to overcome personal issues.",6.911,218,14.544
Raees,2017,Indisch,"Set in the early ’80s and ’90s in Gujarat, India, ‘Raees’ is a fictitious story of a crime lord named Raees, who builds an entire empire from scratch, and a police officer who is determined to bring him down.",6.711,220,17.044
Sardar Udham,2021,Indisch,"A young Sardar Udham Singh left deeply scarred by the Jallianwala Bagh massacre, escaped into the mountains of Afghanistan, reaching London in 1933-34. Carrying an unhealed wound for 21 years, the revolutionary assassinated Michael O’Dwyer on 13th March, 1940, the man at the helm of affairs in Punjab, April 1919 to avenge the lost lives of his beloved brethren.",7.266,92,17.922
Student of the Year 2,2019,Indisch,"A student must overcome bullies and hardships, both academic and romantic, in order to win his college's coveted Student of the Year trophy.",4.657,67,16.414
Babli Bouncer,2022,Indisch,"A first-of-its-kind for her village, Babli takes up a bouncer's job to win over her love, leading to a series of funny and heart-warming events.",6.0,7,20.317
Gabbar Is Back,2015,Indisch,A vigilante network taking out corrupt officials draws the notice of the authorities.,6.982,112,15.331
Pati Patni Aur Postman,2020,Indisch,,0.0,0,10.302
Padmaavat,2018,Indisch,"Rajputana, India, 13th century. The tyrannical usurper Alauddin Khilji, sultan of Delhi, becomes obsessed with Queen Padmavati, wife of King Ratan Singh of Mewar, and goes to great lengths to satisfy his greed for her.",6.922,263,17.827
Dangal,2016,Indisch,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.",7.9,959,18.295
Laila Majnu,2018,Indisch,"Laila is a free-spirited girl from a conservative family who firmly believes in living for the present. Qais, a spoilt brat, falls head over heels in love with her. Their families, however, are warring over property, which leads to self-destruction, pain and bleeding hearts.",6.808,13,16.424
Kapoor & Sons,2016,Indisch,"Returning home to visit their ill grandfather, two estranged brothers must confront their unresolved rivalry while their parents’ marriage frays.",7.0,170,9.646
The Archies,2023,Indisch,"Set in 1960s India, Archie and the gang navigate romance, friendship and the future of Riverdale as developers threaten to destroy a beloved park.",6.3,49,11.111
War,2019,Indisch,"Khalid, entrusted with the task of eliminating former soldier turned rogue Kabir, engages in an epic battle with his mentor who taught him everything.",6.491,277,15.257
Chor Nikal Ke Bhaga,2023,Indisch,A flight attendant and her boyfriend must steal a cache of diamonds to clear an old debt — but the plan spins into a mayhem when the plane gets hijacked.,7.0,120,12.208
Drishyam 2,2022,Indisch,"7 years after the case related to Vijay Salgaonkar and his family was closed, a series of unexpected events bring truth to light that threatens to change everything for the Salgaonkars. Can Vijay save his family this time?",7.972,71,12.578
Brahmāstra Part One: Shiva,2022,Indisch,"The story of Shiva – a young man on the brink of an epic love, with a girl named Isha. But their world is turned upside down when Shiva learns that he has a mysterious connection to the Brahmāstra... and a great power within him that he doesn’t understand just yet - the power of Fire.",6.5,162,20.224
Dunki,2023,Indisch,"Four friends from a sleepy little village in Punjab share a common dream: to go to England. Their problem is that they have neither the visa nor the ticket. A soldier alights from a train one day, and their lives change. He gives them a soldier's promise: He will take them to the land of their dreams. What follows is a hilarious and heartwarming tale of a perilous journey through the desert and the sea, but most crucially through the hinterlands of their mind. Not recommended for watching; it's a headache.",6.3,68,14.98
Bajrangi Bhaijaan,2015,Indisch,A young mute girl from Pakistan loses herself in India with no way to head back. A devoted man with a magnanimous spirit undertakes the task to get her back to her motherland and unite her with her family.,7.812,469,13.115
Bajirao Mastani,2015,Indisch,"Peshwa Bajirao married to Kashibai, falls in love with Mastani, a warrior princess in distress. They struggle to make their love triumph amid opposition from his conservative family.",7.271,275,12.348
Airlift,2016,Indisch,"When Iraq invades Kuwait in August, 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",7.108,189,8.101
Sanam Teri Kasam,2016,Indisch,"A musical romantic movie exploring the journey that ensues when the blue blooded boy Inder, ""Who wanted to love no one"" crosses paths with Saru, ""Whom no one wanted to love"". All their lives they were waiting to meet, but they just didn't know it . A musical tale of love , longing and loss. Sanam Teri Kasam - A Love story sealed with a Curse.",7.906,112,14.481
Tu Jhoothi Main Makkaar,2023,Indisch,"To earn extra cash, Mickey helps couples break up — but life gets complicated when he falls for Tinni, a career woman with an independent streak.",6.2,143,11.253
Shehzada,2023,Indisch,"Bantu has grown up suffering his father Valmiki’s vitriolic tongue until he discovers that he’s actually an heir to an influential family, who was exchanged at birth. He moves into their mansion to protect them from a criminal drug lord’s attack and helps the family sort their issues.",5.534,29,13.35
Parmanu: The Story of Pokhran,2018,Indisch,"A look at India's second confidential nuclear test series at Pokhran lead by Dr. APJ Abdul Kalam, during the time of PM Atal Bihari Vajpayee's tenure.",6.995,99,11.406
Dilwale,2015,Indisch,Raj is a Mafia member. One day he meet a girl (Meera) while chasing by his rival gang and falls in love with her. Later he finds out that this girl is the daughter of the leader of his rival gang. Yet their love story continues until he was shot by his girlfriend upon a deep misunderstanding. After that incident these two lovers lives separate until their siblings fallen in love. With this new love story their paths intertwines again.,6.648,301,10.929
Lust Stories,2018,Indisch,An anthology of four stories that sheds light on modern relationships from the viewpoint of the Indian woman.,6.2,122,10.429
Sanju,2018,Indisch,Sanju explores some of the most crucial chapters from movie star Sanjay Dutt’s dramatic and controversial real life. It gives a lowdown on his tryst with drugs and his trials and tribulations in the Arms Acts case and the 1993 Mumbai blasts.,7.242,186,14.424
Ek Villain Returns,2022,Indisch,"When a singer goes missing amid a serial killing spree, a cabbie and a businessman's son cross paths in a twisted tale where good and evil is blurred.",5.984,93,9.979
Half Girlfriend,2017,Indisch,"A boy meets a girl named Riya and falls in love. After struggling to convince her to be his girlfriend, she half-heartedly agrees to be his `half-girlfriend'.",6.304,74,8.875
Baby,2015,Indisch,A small nascent elite team of the Indian intelligence system perpetually strives to detect and eliminate terrorists and their plots. Officer Ajay leads his team to destroy one such potentially lethal ploy in their biggest operation yet.,6.732,164,12.593
Berlin,2023,Indisch,"New Delhi, the winter of 1993. A deaf mute young man is arrested by ""Bureau"" and accused of being a spy. A sign language expert is brought in to act as an interpreter for the Government’s agent and the “spy”. The unravelling of the mystery is the journey that sucks the sign language expert into the dark vortex of rivalry between intelligence agencies, deceit, and corruption, where the horizon line between innocence and guilt gets hazy.",6.5,2,8.95
Ae Dil Hai Mushkil,2016,Indisch,"Ayan falls in love with his soulmate, Alizeh, but she doesn’t reciprocate the feeling. Later, a relationship with Saba helps him realize Alizeh’s value in his life, irrespective of their relationship status.",6.425,199,10.583
Gangubai Kathiawadi,2022,Indisch,"Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.",7.4,142,9.594
Dear Zindagi,2016,Indisch,An unconventional thinker helps a budding cinematographer gain a new perspective on life.,7.038,224,11.824
